code,current,name,gender,function,country_code,country_long,nationality,nationality_code,disciplines,events,birth_date
1927685,TRUE,MILJENIC Nikola,Male,Athlete,CRO,Croatia,Croatia,CRO,['Swimming'],"[""Men's 100m Butterfly"", ""Men's 100m Freestyle""]",19-05-1998
1927686,TRUE,PAVALIC Jana,Female,Athlete,CRO,Croatia,Croatia,CRO,['Swimming'],"[""Women's 100m Freestyle"", ""Women's 50m Freestyle""]",27-05-2007
1927704,TRUE,ZHANG Zhizhen,Male,Athlete,CHN,People's Republic of China,China,CHN,['Tennis'],"[""Men's Singles"", 'Mixed Doubles']",16-10-1996
1927709,TRUE,ZHENG Qinwen,Female,Athlete,CHN,People's Republic of China,China,CHN,['Tennis'],"[""Women's Singles"", 'Mixed Doubles']",08-10-2002
1927710,TRUE,WANG Xiyu,Female,Athlete,CHN,People's Republic of China,China,CHN,['Tennis'],"[""Women's Singles""]",28-03-2001
1927711,TRUE,YUAN Yue,Female,Athlete,CHN,People's Republic of China,China,CHN,['Tennis'],"[""Women's Doubles"", ""Women's Singles""]",25-09-1998
1927716,TRUE,ZHANG Shuai,Female,Athlete,CHN,People's Republic of China,China,CHN,['Tennis'],"[""Women's Doubles""]",21-01-1989
1927719,TRUE,WANG Xinyu,Female,Athlete,CHN,People's Republic of China,China,CHN,['Tennis'],"[""Women's Doubles"", ""Women's Singles"", 'Mixed Doubles']",26-09-2001
1927733,TRUE,KANTOR Sharon,Female,Athlete,ISR,Israel,Israel,ISR,['Sailing'],"[""Women's Windsurfing""]",28-01-2003
1927771,TRUE,ZUKERMAN Gal,Female,Athlete,ISR,Israel,Israel,ISR,['Sailing'],"[""Women's Kite""]",17-08-2003
1927782,TRUE,KAKON Shay,Female,Athlete,ISR,Israel,Israel,ISR,['Sailing'],"[""Women's Dinghy""]",05-11-2002
1927786,TRUE,ROBIUL Md Robiul Islam,Male,Athlete,BAN,Bangladesh,Bangladesh,BAN,['Shooting'],['10m Air Rifle Men'],12-03-1999
1927820,TRUE,LASRY Noa,Female,Athlete,ISR,Israel,Israel,ISR,['Sailing'],['Mixed Dinghy'],24-06-1999
1927837,TRUE,ZARKA Dor,Male,Athlete,ISR,Israel,Israel,ISR,['Sailing'],"[""Men's Kite""]",12-03-1994
1927903,TRUE,PUREVDORJ Orkhon,Female,Athlete,MGL,Mongolia,Mongolia,MGL,['Wrestling'],"[""Women's Freestyle 62kg""]",25-12-1993
1927912,TRUE,DOLGORJAV Otgonjargal,Female,Athlete,MGL,Mongolia,Mongolia,MGL,['Wrestling'],"[""Women's Freestyle 50kg""]",02-10-2001
1927917,TRUE,ZEIN Ali,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],14-12-1990
1927920,TRUE,ABDOU Abdelrahman,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],30-01-1996
1927945,TRUE,UME John,Male,Athlete,PNG,Papua New Guinea,Papua New Guinea,PNG,['Boxing'],"[""Men's 63.5kg""]",19-08-1996
1927950,TRUE,BOLDSAIKHAN Khongorzul,Female,Athlete,MGL,Mongolia,Mongolia,MGL,['Wrestling'],"[""Women's Freestyle 57kg""]",27-05-2001
1927952,TRUE,HANNESDOTTIR Edda,Female,Athlete,ISL,Iceland,Iceland,ISL,['Triathlon'],"[""Women's Individual""]",08-12-1994
1927960,TRUE,BATKHUYAG Khulan,Female,Athlete,MGL,Mongolia,Mongolia,MGL,['Wrestling'],"[""Women's Freestyle 53kg""]",20-11-1999
1927969,TRUE,SHEK Wai Hung,Male,Athlete,HKG,"Hong Kong, China","Hong Kong, China",HKG,['Artistic Gymnastics'],"['Men', ""Men's Vault""]",10-10-1991
1928036,TRUE,ADEL Ahmed,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],25-11-1994
1928040,TRUE,OMANYALA Ferdinand,Male,Athlete,KEN,Kenya,Kenya,KEN,['Athletics'],"[""Men's 100m""]",02-01-1996
1928041,TRUE,ELWAKIL Omar,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],14-05-1988
1928047,TRUE,MORAA Mary,Female,Athlete,KEN,Kenya,Kenya,KEN,['Athletics'],"[""Women's 800m""]",15-06-2000
1928054,TRUE,SRBIC Tin,Male,Athlete,CRO,Croatia,Croatia,CRO,['Artistic Gymnastics'],"['Men', ""Men's Horizontal Bar""]",11-09-1996
1928055,TRUE,BENOVIC Aurel,Male,Athlete,CRO,Croatia,Croatia,CRO,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise"", ""Men's Vault""]",14-07-2000
1928063,TRUE,ELDERAA Seif,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],19-09-1998
1928064,TRUE,AN Baul,Male,Athlete,KOR,Republic of Korea,Korea,KOR,['Judo'],"['Men -66 kg', 'Mixed Team']",25-03-1994
